linmagx.magsys.lens1_set ic.linmag.ql1.gset
linmagx.magsys.lens2_set ic.linmag.ql2.gset
linmagx.magsys.lens3_set ic.linmag.ql3.gset
linmagx.magsys.lens4_set ic.linmag.ql4.gset
linmagx.magsys.lens5_set ic.linmag.ql5.gset
linmagx.magsys.lens6n7_set ic.linmag.ql6n7.gset
linmagx.magsys.lens8n9_set ic.linmag.ql8n9.gset
linmagx.magsys.lens10_set ic.linmag.ql10.gset
linmagx.magsys.lens11_set ic.linmag.ql11.gset
linmagx.magsys.lens12_set ic.linmag.ql12.gset
linmagx.magsys.lens13_set ic.linmag.ql13.gset
linmagx.magsys.lens14_set ic.linmag.ql14.gset
linmagx.magsys.lensb1_set ic.linmag.qlb1.gset
linmagx.magsys.lensb2n5_set ic.linmag.qlb2n5.gset
linmagx.magsys.lensb3n4_set ic.linmag.qlb3n4.gset
linmagx.magsys.trlens1_set ic.linmag.qltr1.gset
linmagx.magsys.trlens2_set ic.linmag.qltr2.gset
linmagx.magsys.trlens3_set ic.linmag.qltr3.gset
linmagx.magsys.trposl1n3_set ic.linmag.ql15.gset
linmagx.magcor.s6_h_set ic.linmag.qln.gset
linmagx.magsys.lens16_set ic.linmag.ql16.gset
linmagx.magsys.lens17_set ic.linmag.ql17.gset
linmagx.magsys.lens18_set ic.linmag.ql18.gset
linmagx.magsys.lens19_set ic.linmag.ql19.gset
linmagx.magsys.lens20_set ic.linmag.ql20.gset
linmagx.magsys.lens21_set ic.linmag.ql21.gset
linmagx.magsys.lens22_set ic.linmag.ql22.gset
linmagx.magsys.lens23_set ic.linmag.ql23.gset
linmagx.magsys.lens24_set ic.linmag.ql24.gset
linmagx.magsys.lens25_set ic.linmag.ql25.gset
linmagx.magsys.lens26_set ic.linmag.ql26.gset
linmagx.magsys.lens27_set ic.linmag.ql27.gset
linmagx.magsys.lens28_set ic.linmag.ql28.gset
linmagx.magsys.lens29_set ic.linmag.ql29.gset
linmagx.magsys.lens30_set ic.linmag.ql30.gset
linmagx.magsys.lens31_set ic.linmag.ql31.gset
